# BEAST v1.8.2, r6687
# Generated Mon Aug 17 12:27:56 EEST 2015 [seed=1439803657804]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
39000	-1619876.213644669	-89.22310099961967	-1619786.9905436693	16.783917403280576	3.599798847807642	4.219572129903803	0.2926266731122595	0.18966060924916278	0.22683866654437443	0.2908740510942033	0.054686960550478586	5.431102624863932E-5	-1619786.9905436693	-92.34960944691514
40000	-1619913.1926064088	-120.10166364859411	-1619793.0909427602	32.60843974527766	5.446878593406678	4.219572129903803	0.2926266731122595	0.18966060924916278	0.22683866654437443	0.2908740510942033	0.05519887146616544	2.822316520985357E-5	-1619793.0909427602	-123.4089633616744
41000	-1619130.8508619193	-122.24637077409763	-1619008.6044911454	33.715005441616405	4.807526534506845	4.425330814695957	0.30262425337549775	0.18966060924916278	0.22683866654437443	0.280876470830965	0.04269018010652925	2.7054930957273963E-5	-1619008.6044911454	-125.90921845779272
42000	-1619091.8847404732	-135.2070883544459	-1618956.6776521187	47.5339528629876	7.480121704451631	4.425330814695957	0.30262425337549775	0.1893137786080201	0.22718549718551712	0.280876470830965	0.03504771307862413	1.886904925107355E-5	-1618956.6776521187	-138.12055612484139
43000	-1615856.4002294315	-111.58974216881123	-1615744.8104872627	27.081908503530364	6.329120945125533	4.425330814695957	0.3081147335260581	0.18432870790208333	0.22668008774089354	0.280876470830965	0.030710696893378697	3.27025406440118E-5	-1615744.8104872627	-114.23299515997729
44000	-1615162.1316016193	-96.8294927366144	-1615065.3021088827	21.002843812786757	3.3109890065236303	4.425330814695957	0.3081147335260581	0.17723103443137206	0.23377776121160482	0.280876470830965	0.035401723890592	4.180565271658548E-5	-1615065.3021088827	-100.65614016754115
45000	-1615143.5845614567	-89.06097118906074	-1615054.5235902676	15.679706198990317	2.0056009903984124	4.425330814695957	0.3081147335260581	0.17723103443137206	0.23377776121160482	0.280876470830965	0.035401723890592	5.7442581589616246E-5	-1615054.5235902676	-93.20366859907543
46000	-1615144.8223535228	-88.78543621666701	-1615056.036917306	15.470817561742289	3.0635116738864157	4.425330814695957	0.3081147335260581	0.17723103443137206	0.23377776121160482	0.280876470830965	0.04382664082664288	5.640861551626289E-5	-1615056.036917306	-92.14356166155495
47000	-1610505.9626706662	-81.67612342035157	-1610424.286547246	13.804684817917346	2.7228654939155494	4.425330814695957	0.3081147335260581	0.16777521255677258	0.23377776121160482	0.2903322927055645	0.03601974446247758	6.331154032211189E-5	-1610424.286547246	-85.03014298101444
48000	-1610518.59688369	-95.24779137123583	-1610423.3490923187	19.577390334283777	3.293059795379282	4.425330814695957	0.3081147335260581	0.16777521255677258	0.23377776121160482	0.2903322927055645	0.03601974446247758	4.6382280272819016E-5	-1610423.3490923187	-98.88051897830591
49000	-1610018.915378254	-51.4182654623715	-1609967.4971127915	7.41040856627836	1.105323043788992	4.425330814695957	0.3081147335260581	0.16777521255677258	0.23269783636149866	0.29141221755567065	0.03835225902706958	1.254164843791744E-4	-1609967.4971127915	-54.33773223740851
50000	-1609878.554679555	-70.09578350052202	-1609808.4588960544	10.034193459506955	1.102528066293996	4.590507346669357	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.03281505556710203	9.123906878066088E-5	-1609808.4588960544	-73.88959232261627
51000	-1609836.7178958494	-20.942151956993143	-1609815.7757438924	3.355177513664366	0.5619185259781823	4.590507346669357	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.03345485061654579	2.757403710662556E-4	-1609815.7757438924	-21.651844746267482
52000	-1609812.7112257108	-0.9943459951850451	-1609811.7168797157	2.119506726184402	0.3238247803063194	4.590507346669357	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.03345485061654579	4.104516156318738E-4	-1609811.7168797157	-0.1932967597633679
53000	-1609843.7772347545	-29.95684816832174	-1609813.8203865862	4.028184865653956	0.7527985282119001	4.149196405890998	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.05291814678908579	2.1783884599855152E-4	-1609813.8203865862	-31.461506550727595
54000	-1609844.593325811	-35.95701090519935	-1609808.6363149057	4.8004986628282	0.819197375450832	4.545464068270856	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.05291814678908579	1.852559245932554E-4	-1609808.6363149057	-37.84399787168693
55000	-1609858.945315915	-43.41299561262695	-1609815.5323203022	5.603655027573907	1.0966607593135564	4.545464068270856	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.06893765417773785	1.655213794111627E-4	-1609815.5323203022	-45.369199401288625
56000	-1609834.3674239668	-22.299005086688467	-1609812.06841888	3.5333693463621896	0.5820849151418015	4.545464068270856	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.06893765417773785	2.5557821052130765E-4	-1609812.06841888	-23.221267032279677
57000	-1609811.8938989893	-1.705367770146206	-1609810.1885312193	1.858211886124606	0.5296924241289327	4.2303265884767125	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.06115019929893248	4.774267461791265E-4	-1609810.1885312193	-0.2510655814643519
58000	-1609857.2103657764	-46.86718697222801	-1609810.3431788043	6.491142016234555	1.092489949356017	4.2303265884767125	0.31309337419831695	0.16777521255677258	0.23269783636149866	0.2864335768834118	0.06115019929893248	1.3541543037146885E-4	-1609810.3431788043	-49.57800833185659
